Question,Answer
What are the indications for Tigecycline?,"1 INDICATIONS AND USAGE Tigecycline for injection is a tetracycline class antibacterial indicated in patients 18 years of age and older for: Complicated skin and skin structure infections ( 1.1 ) Complicated intra-abdominal infections ( 1.2 ) Community-acquired bacterial pneumonia ( 1.3 ) Limitations of Use: Tigecycline for injection is not indicated for treatment of diabetic foot infection or hospital-acquired pneumonia, including ventilator-associated pneumonia ( 1.4 ). To reduce the development of drug-resistant bacteria and maintain the effectiveness of tigecycline for injection and other antibacterial drugs, tigecycline for injection should be used only to treat infections that are proven or strongly suspected to be caused by bacteria ( 1.5 ). 1.1 Complicated Skin and Skin Structure Infections Tigecycline for injection is indicated in patients 18 years of age and older for the treatment of complicated skin and skin structure infections caused by susceptible isolates of Escherichia coli, Enterococcus faecalis (vancomycin-susceptible isolates), Staphylococcus aureus (methicillin-susceptible and -resistant isolates), Streptococcus agalactiae, Streptococcus anginosus grp. (includes S. anginosus, S. intermedius, and S. constellatus ), Streptococcus pyogenes, Enterobacter cloacae, Klebsiella pneumoniae, and Bacteroides fragilis. 1.2 Complicated Intra-abdominal Infections Tigecycline for injection is indicated in patients 18 years of age and older for the treatment of complicated intra-abdominal infections caused by susceptible isolates of Citrobacter freundii, Enterobacter cloacae, Escherichia coli, Klebsiella oxytoca, Klebsiella pneumoniae, Enterococcus faecalis (vancomycin-susceptible isolates), Staphylococcus aureus (methicillin-susceptible and ‑resistant isolates), Streptococcus anginosus grp. (includes S. anginosus, S. intermedius, and S. constellatus ), Bacteroides fragilis, Bacteroides thetaiotaomicron, Bacteroides uniformis, Bacteroides vulgatus, Clostridium perfringens, and Peptostreptococcus micros. 1.3 Community-Acquired Bacterial Pneumonia Tigecycline for injection is indicated in patients 18 years of age and older for the treatment of community-acquired bacterial pneumonia caused by susceptible isolates of Streptococcus pneumoniae (penicillin-susceptible isolates), including cases with concurrent bacteremia, Haemophilus influenzae , and Legionella pneumophila . 1.4 Limitations of Use Tigecycline for injection is not indicated for the treatment of diabetic foot infections. A clinical trial failed to demonstrate non-inferiority of tigecycline for injection for treatment of diabetic foot infections. Tigecycline for injection is not indicated for the treatment of hospital-acquired or ventilator-associated pneumonia. In a comparative clinical trial, greater mortality and decreased efficacy were reported in tigecycline for injection-treated patients [see Warnings and Precautions ( 5.2 )] . 1.5 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of tigecycline for injection and other antibacterial drugs, tigecycline for injection should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Appropriate specimens for bacteriological examination should be obtained in order to isolate and identify the causative organisms and to determine their susceptibility to tigecycline. Tigecycline for injection may be initiated as empiric monotherapy before results of these tests are known."
What are the common side effects of Vancomycin?,"DRUG INEFFECTIVE, ACUTE KIDNEY INJURY, PYREXIA, OFF LABEL USE, RENAL FAILURE"
What is the AWARE status of Vancomycin?,Watch
What are the indications for Vancomycin?,"INDICATIONS AND USAGE Vancomycin Hydrochloride for Injection, USP is indicated for the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (β-lactam-resistant) staphylococci. It is indicated for penicillin-allergic patients, for patients who cannot receive or who have failed to respond to other drugs, including the penicillins or cephalosporins, and for infections caused by vancomycin-susceptible organisms that are resistant to other antimicrobial drugs. Vancomycin Hydrochloride for Injection, USP is indicated for initial therapy when methicillin-resistant staphylococci are suspected, but after susceptibility data are available, therapy should be adjusted accordingly. Vancomycin Hydrochloride for Injection, USP is effective in the treatment of staphylococcal endocarditis. Its effectiveness has been documented in other infections due to staphylococci, including septicemia, bone infections, lower respiratory tract infections, skin and skin structure infections. When staphylococcal infections are localized and purulent, antibiotics are used as adjuncts to appropriate surgical measures. Vancomycin Hydrochloride for Injection, USP has been reported to be effective alone or in combination with an aminoglycoside for endocarditis caused by S. viridans or S. bovis. For endocarditis caused by enterococci (e.g., E. faecalis), vancomycin has been reported to be effective only in combination with an aminoglycoside. Vancomycin Hydrochloride for Injection, USP has been reported to be effective for the treatment of diphtheroid endocarditis. Vancomycin Hydrochloride for Injection, USP has been used successfully in combination with either rifampin, an aminoglycoside, or both in early-onset prosthetic valve endocarditis caused by S. epidermidis or diphtheroids. Specimens for bacteriologic cultures should be obtained in order to isolate and identify causative organisms and to determine their susceptibilities to vancomycin. To reduce the development of drug-resistant bacteria and maintain the effectiveness of Vancomycin Hydrochloride for Injection, USP and other antibacterial drugs, Vancomycin Hydrochloride for Injection, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy . The parenteral form of vancomycin hydrochloride may be administered orally for treatment of antibiotic-associated pseudomembranous colitis produced by C. difficile and for staphylococcal enterocolitis. Parenteral administration of vancomycin hydrochloride alone is of unproven benefit for these indications. Vancomycin is not effective by the oral route for other types of infections."
What are the common side effects of Ampicillin sulbactam?,"DRUG INEFFECTIVE, PYREXIA, OFF LABEL USE, PNEUMONIA, DRUG HYPERSENSITIVITY"
What are the indications for Ampicillin sulbactam?,"INDICATIONS AND USAGE Ampicillin and sulbactam for injection is indicated for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus , Escherichia coli ,* Klebsiella spp .* (including K. pneumoniae*), Proteus mirabilis ,* Bacteroides fragilis ,* Enterobacter spp. , * and Acinetobacter calcoaceticus .* NOTE: For information on use in pediatric patients (see PRECAUTIONS-Pediatric Use and CLINICAL STUDIES sections). Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli , Klebsiella spp . (including K. pneumoniae *), Bacteroides spp . (including B. fragilis ), and Enterobacter spp .* Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli ,* and Bacteroides spp.* (including B. fragilis *). * Efficacy for this organism in this organ system was studied in fewer than 10 infections. While ampicillin and sulbactam for injection is indicated only for the conditions listed above, infections caused by ampicillin-susceptible organisms are also amenable to treatment with ampicillin and sulbactam for injection due to its ampicillin content. Therefore, mixed infections caused by ampicillin-susceptible organisms and beta-lactamase producing organisms susceptible to ampicillin and sulbactam for injection should not require the addition of another antibacterial. Appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify the organisms causing infection and to determine their susceptibility to ampicillin and sulbactam for injection. Therapy may be instituted prior to obtaining the results from bacteriological and susceptibility studies when there is reason to believe the infection may involve any of the beta-lactamase producing organisms listed above in the indicated organ systems. Once the results are known, therapy should be adjusted if appropriate. To reduce the development of drug-resistant bacteria and maintain effectiveness of ampicillin and sulbactam for injection and other antibacterial drugs, ampicillin and sulbactam for injection should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Aztreonam?,"CYSTIC FIBROSIS, OFF LABEL USE, PNEUMONIA, DEATH, INFECTION"
What is the AWARE status of Aztreonam?,Reserve
What are the indications for Aztreonam?,"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of aztreonam for injection, USP and other antibacterial drugs, aztreonam for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Aztreonam for Injection is indicated for the treatment of the following infections caused by susceptible Gram-negative microorganisms: Urinary Tract Infections (complicated and uncomplicated), including pyelonephritis and cystitis (initial and recurrent) caused by Escherichia coli, Klebsiella pneumoniae, Proteus mirabilis, Pseudomonas aeruginosa, Enterobacter cloacae, Klebsiella oxytoca *, Citrobacter species*, and Serratia marcescens *. Lower Respiratory Tract Infections , including pneumonia and bronchitis caused by Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Haemophilus influenzae, Proteus mirabilis, Enterobacter species, and Serratia marcescens *. Septicemia caused by Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Proteus mirabilis *, Serratia marcescens *, and Enterobacter species. Skin and Skin-Structure Infections , including those associated with postoperative wounds, ulcers, and burns, caused by Escherichia coli, Proteus mirabilis, Serratia marcescens, Enterobacter species, Pseudomonas aeruginosa, Klebsiella pneumoniae, and Citrobacter species*. *Efficacy for this organism in this organ system was studied in fewer than 10 infections. Intra-abdominal Infections , including peritonitis caused by Escherichia coli, Klebsiella species including K. pneumoniae, Enterobacter species including E. cloacae *, Pseudomonas aeruginosa, Citrobacter species* including C. freundii *, and Serratia species* including S. marcescens *. Gynecologic Infections , including endometritis and pelvic cellulitis caused by Escherichia coli, Klebsiella pneumoniae *, Enterobacter species* including E. cloacae *, and Proteus mirabilis *. Aztreonam for injection is indicated for adjunctive therapy to surgery in the management of infections caused by susceptible organisms, including abscesses, infections complicating hollow viscus perforations, cutaneous infections, and infections of serous surfaces. Aztreonam for injection is effective against most of the commonly encountered Gram-negative aerobic pathogens seen in general surgery. Concurrent Therapy Concurrent initial therapy with other antimicrobial agents and aztreonam for injection is recommended before the causative organism(s) is known in seriously ill patients who are also at risk of having an infection due to Gram-positive aerobic pathogens. If anaerobic organisms are also suspected as etiologic agents, therapy should be initiated using an anti-anaerobic agent concurrently with aztreonam for injection (see DOSAGE AND ADMINISTRATION ). Certain antibiotics (e.g., cefoxitin, imipenem) may induce high levels of beta-lactamase in vitro in some Gram-negative aerobes such as Enterobacter and Pseudomonas species, resulting in antagonism to many beta-lactam antibiotics including aztreonam. These in vitro findings suggest that such beta-lactamase-inducing antibiotics not be used concurrently with aztreonam. Following identification and susceptibility testing of the causative organism(s), appropriate antibiotic therapy should be continued."
What are the common side effects of Aztreonam avibactam?,"CYSTIC FIBROSIS, OFF LABEL USE, DEATH, PNEUMONIA, INFECTION"
What are the indications for Aztreonam avibactam?,"1. INDICATIONS AND USAGE EXBLIFEP is a combination of cefepime, a cephalosporin antibacterial, and enmetazobactam, a beta-lactamase inhibitor, indicated for the treatment of patients 18 years and older with complicated urinary tract infections (cUTI) including pyelonephritis caused by designated susceptible microorganisms. ( 1.1 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of EXBLIFEP and other antibacterial drugs, EXBLIFEP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. ( 1.2 ) 1.1. Complicated Urinary Tract Infections, including Pyelonephritis EXBLIFEP ® is indicated for the treatment of patients 18 years of age and older with complicated urinary tract infections (cUTI) including pyelonephritis, caused by the following susceptible microorganisms: Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Proteus mirabilis, and Enterobacter cloacae complex. 1.2. Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of EXBLIFEP and other antibacterial drugs, EXBLIFEP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Cefixime?,"DRUG INEFFECTIVE, OFF LABEL USE, DIARRHOEA, PAIN, FATIGUE"
What is the AWARE status of Cefixime?,Watch
What are the indications for Cefixime?,"1 INDICATIONS AND USAGE Cefixime for oral suspension is a cephalosporin antibacterial drug indicated in the treatment of adults and pediatric patients six months and older with the following infections: Uncomplicated Urinary Tract Infections (1.1) Otitis Media (1.2) Pharyngitis and Tonsillitis (1.3) Acute Exacerbations of Chronic Bronchitis (1.4) Uncomplicated Gonorrhea (cervical/urethral) (1.5) To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefixime for oral suspension and other antibacterial drugs, cefixime for oral suspension should be used only to treat infections that are proven or strongly suspected to be caused by bacteria. (1.6) 1.1 Uncomplicated Urinary Tract Infections Cefixime for oral suspension is indicated in the treatment of adults and pediatric patients six months of age or older with uncomplicated urinary tract infections caused by susceptible isolates of Escherichia coli and Proteus mirabilis . 1.2 Otitis Media Cefixime for oral suspension is indicated in the treatment of adults and pediatric patients six months of age or older with otitis media caused by susceptible isolates of Haemophilus influenzae , Moraxella catarrhalis , and Streptococcus pyogenes. (Efficacy for Streptococcus pyogenes in this organ system was studied in fewer than 10 infections.) Note: For patients with otitis media caused by Streptococcus pneumoniae , overall response was approximately 10% lower for cefixime than for the comparator [see Clinical Studies (14) ]. 1.3 Pharyngitis and Tonsillitis Cefixime for oral suspension is indicated in the treatment of adults and pediatric patients six months of age or older with pharyngitis and tonsillitis caused by susceptible isolates of Streptococcus pyogenes. (Note: Penicillin is the usual drug of choice in the treatment of Streptococcus pyogenes infections. Cefixime for oral suspension is generally effective in the eradication of Streptococcus pyogenes from the nasopharynx; however, data establishing the efficacy of cefixime for oral suspension in the subsequent prevention of rheumatic fever is not available.) 1.4 Acute Exacerbations of Chronic Bronchitis Cefixime for oral suspension is indicated in the treatment of adults and pediatric patients six months of age or older with acute exacerbations of chronic bronchitis caused by susceptible isolates of Streptococcus pneumoniae and Haemophilus influenzae. 1.5 Uncomplicated Gonorrhea (cervical/urethral) Cefixime for oral suspension is indicated in the treatment of adults and pediatric patients six months of age or older with uncomplicated gonorrhea (cervical/urethral) caused by susceptible isolates of Neisseria gonorrhoeae (penicillinase-and non-penicillinase-producing isolates). 1.6 Usage To reduce the development of drug resistant bacteria and maintain the effectiveness of cefixime for oral suspension and other antibacterial drugs, cefixime for oral suspension should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antimicrobial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ceftaroline?,"OFF LABEL USE, DRUG INEFFECTIVE, ACUTE KIDNEY INJURY, DEATH, NEUTROPENIA"
What is the AWARE status of Ceftaroline?,Reserve
What are the indications for Ceftaroline?,"1. INDICATIONS AND USAGE Teflaro is a cephalosporin antibacterial indicated in adult and pediatric patients for the treatment of the following infection caused by designated susceptible bacteria: Acute bacterial skin and skin structure infections (ABSSSI) in adult and pediatric patients (at least 34 weeks gestational age and 12 days postnatal age) ( 1.1 ) Community-acquired bacterial pneumonia (CABP) in adult and pediatric patients 2 months of age and older ( 1.2 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of Teflaro and other antibacterial drugs, Teflaro should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.3 ) 1.1 Acute Bacterial Skin and Skin Structure Infections Teflaro is indicated in adult and pediatric patients (at least 34 weeks gestational age and 12 days postnatal age) for the treatment of acute bacterial skin and skin structure infections (ABSSSI) caused by susceptible isolates of the following Gram-positive and Gram-negative microorganisms: Staphylococcus aureus (including methicillin-susceptible and -resistant isolates), Streptococcus pyogenes , Streptococcus agalactiae , Escherichia coli , Klebsiella pneumoniae , and Klebsiella oxytoca [see Dosage and Administration ( 2.2 ) and Use in Specific Populations ( 8.4 )] . 1.2 Community-Acquired Bacterial Pneumonia Teflaro is indicated in adult and pediatric patients 2 months of age and older for the treatment of community-acquired bacterial pneumonia (CABP) caused by susceptible isolates of the following Gram-positive and Gram-negative microorganisms: Streptococcus pneumoniae (including cases with concurrent bacteremia), Staphylococcus aureus (methicillin-susceptible isolates only), Haemophilus influenzae, Klebsiella pneumoniae, Klebsiella oxytoca, and Escherichia coli. 1.3 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of Teflaro and other antibacterial drugs, Teflaro should be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. Appropriate specimens for microbiological examination should be obtained in order to isolate and identify the causative pathogens and to determine their susceptibility to ceftaroline. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ceftazidime avibactam?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, SEPTIC SHOCK, CONDITION AGGRAVATED"
What are the indications for Ceftazidime avibactam?,"INDICATIONS AND USAGE Ceftazidime for injection, USP is indicated for the treatment of patients with infections caused by susceptible strains of the designated organisms in the following diseases: Lower Respiratory Tract Infections, including pneumonia, caused by Pseudomonas aeruginosa and other Pseudomonas spp.; Haemophilus influenzae, including ampicillin-resistant strains; Klebsiella spp.; Enterobacter spp.; Proteus mirabilis; Escherichia coli; Serratia spp.; Citrobacter spp.; Streptococcus pneumoniae; and Staphylococcus aureus (methicillin-susceptible strains). Skin and Skin-Structure Infections caused by Pseudomonas aeruginosa; Klebsiella spp.; Escherichia coli; Proteus spp., including Proteus mirabilis and indole-positive Proteus; Enterobacter spp.; Serratia spp.; Staphylococcus aureus (methicillin-susceptible strains); and Streptococcus pyogenes (group A beta-hemolytic streptococci). Urinary Tract Infections, both complicated and uncomplicated, caused by Pseudomonas aeruginosa; Enterobacter spp.; Proteus spp., including Proteus mirabilis and indole-positive Proteus; Klebsiella spp.; and Escherichia coli. Bacterial Septicemia caused by Pseudomonas aeruginosa, Klebsiella spp., Haemophilus influenzae, Escherichia coli, Serratia spp., Streptococcus pneumoniae, and Staphylococcus aureus (methicillin-susceptible strains). Bone and Joint Infections caused by Pseudomonas aeruginosa, Klebsiella spp., Enterobacter spp., and Staphylococcus aureus (methicillin-susceptible strains). Gynecologic Infections, including endometritis, pelvic cellulitis, and other infections of the female genital tract caused by Escherichia coli. Intra-abdominal Infections, including peritonitis caused by Escherichia coli, Klebsiella spp., and Staphylococcus aureus (methicillin-susceptible strains) and polymicrobial infections caused by aerobic and anaerobic organisms and Bacteroides spp. (many strains of Bacteroides fragilis are resistant). Central Nervous System Infections, including meningitis, caused by Haemophilus influenzae and Neisseria meningitidis. Ceftazidime has also been used successfully in a limited number of cases of meningitis due to Pseudomonas aeruginosa and Streptococcus pneumoniae. Ceftazidime for injection, USP may be used alone in cases of confirmed or suspected sepsis. Ceftazidime has been used successfully in clinical trials as empiric therapy in cases where various concomitant therapies with other antibacterial drugs have been used. Ceftazidime for injection, USP may also be used concomitantly with other antibacterial drugs, such as aminoglycosides, vancomycin, and clindamycin; in severe and life-threatening infections; and in the immunocompromised patient. When such concomitant treatment is appropriate, prescribing information in the labeling for the other antibacterial drugs should be followed. The dose depends on the severity of the infection and the patient's condition. To reduce the development of drug-resistant bacteria and maintain the effectiveness of ceftazidime for injection, USP and other antibacterial drugs, ceftazidime for injection, USP should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ciprofloxacin?,"FATIGUE, DIARRHOEA, ARTHRALGIA, NAUSEA, PAIN"
What is the AWARE status of Ciprofloxacin?,Watch
What are the indications for Ciprofloxacin?,INDICATIONS AND USAGE Ciprofloxacin ophthalmic solution is indicated for the treatment of infections caused by susceptible strains of the designated microorganisms in the conditions listed below: Corneal Ulcers: Pseudomonas aeruginosa Serratia marcescens * Staphylococcus aureus Staphylococcus epidermidis Streptococcus pneumoniae Streptococcus (Viridans Group) * Conjunctivitis: Haemophilus influenzae Staphylococcus aureus Staphylococcus epidermidis Streptococcus pneumoniae *Efficacy for this organism was studied in fewer than 10 infections.
What are the common side effects of Colistin?,"DRUG INEFFECTIVE, OFF LABEL USE, CONDITION AGGRAVATED, DRUG RESISTANCE, SEPTIC SHOCK"
What is the AWARE status of Colistin?,Reserve
What are the indications for Colistin?,"INDICATIONS AND USAGE Cortisporin ® TC Otic is indicated for the treatment of superficial bacterial infections of the external auditory canal, caused by organisms susceptible to the action of the antibiotics; and for the treatment of infections of mastoidectomy and fenestration cavities, caused by organisms susceptible to the antibiotics."
What are the common side effects of Daptomycin?,"OFF LABEL USE, DRUG INEFFECTIVE, ACUTE KIDNEY INJURY, PYREXIA, BLOOD CREATINE PHOSPHOKINASE INCREASED"
What is the AWARE status of Daptomycin?,Reserve
What are the indications for Daptomycin?,"1 INDICATIONS AND USAGE Daptomycin for injection is a lipopeptide antibacterial indicated for the treatment of: • Complicated skin and skin structure infections (cSSSI) in adult and pediatric patients (1 to 17 years of age) ( 1.1 ) and, • Staphylococcus aureus bloodstream infections (bacteremia), in adult patients including those with right-sided infective endocarditis, ( 1.2 ) • Staphylococcus aureus bloodstream infections (bacteremia) in pediatric patients (1 to 17 years of age). ( 1.3 ) Limitations of Use : • Daptomycin for injection is not indicated for the treatment of pneumonia. ( 1.4 ) • Daptomycin for injection is not indicated for the treatment of left-sided infective endocarditis due to S. aureus . ( 1.4 ) • Daptomycin for Injection is not recommended in pediatric patients younger than one year of age due to the risk of potential effects on muscular, neuromuscular, and/or nervous systems (either peripheral and/or central) observed in neonatal dogs. ( 1.4 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of daptomycin for injection and other antibacterial drugs, daptomycin for injection should be used to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.5 ) 1.1 Complicated Skin and Skin Structure Infections (cSSSI) Daptomycin for injection is indicated for the treatment of adult and pediatric patients (1 to 17 years of age) with complicated skin and skin structure infections (cSSSI) caused by susceptible isolates of the following Gram-positive bacteria: Staphylococcus aureus (including methicillin-resistant isolates), Streptococcus pyogenes, Streptococcus agalactiae, Streptococcus dysgalactiae subsp. equisimilis, and Enterococcus faecalis (vancomycin-susceptible isolates only). 1.2 Staphylococcus aureus Bloodstream Infections (Bacteremia) in Adult Patients, Including Those with Right-Sided Infective Endocarditis, Caused by Methicillin-Susceptible and Methicillin-Resistant Isolates Daptomycin for injection is indicated for the treatment of adult patients with Staphylococcus aureus bloodstream infections (bacteremia), including adult patients with right-sided infective endocarditis, caused by methicillin-susceptible and methicillin-resistant isolates. 1.3 Staphylococcus aureus Bloodstream Infections (Bacteremia) in Pediatric Patients (1 to 17 Years of Age) Daptomycin for injection is indicated for the treatment of pediatric patients (1 to 17 years of age) with Staphylococcus aureus bloodstream infections (bacteremia). 1.4 Limitations of Use Daptomycin for injection is not indicated for the treatment of pneumonia. Daptomycin for injection is not indicated for the treatment of left-sided infective endocarditis due to S. aureus . The clinical trial of daptomycin for injection in adult patients with S. aureus bloodstream infections included limited data from patients with left-sided infective endocarditis; outcomes in these patients were poor [see Clinical Studies ( 14.2 )] . Daptomycin for injection has not been studied in patients with prosthetic valve endocarditis. Daptomycin for injection is not recommended in pediatric patients younger than 1 year of age due to the risk of potential effects on muscular, neuromuscular, and/or nervous systems (either peripheral and/or central) observed in neonatal dogs [see Warnings and Precautions ( 5.7 ) and Nonclinical Toxicology ( 13.2 )] . 1.5 Usage Appropriate specimens for microbiological examination should be obtained in order to isolate and identify the causative pathogens and to determine their susceptibility to daptomycin. To reduce the development of drug-resistant bacteria and maintain the effectiveness of daptomycin for injection and other antibacterial drugs, daptomycin for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information is available, it should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Empiric therapy may be initiated while awaiting test results."
What are the common side effects of Doripenem?,"PNEUMONIA, PYREXIA, SEPSIS, DRUG INEFFECTIVE, FEBRILE NEUTROPENIA"
What is the AWARE status of Doripenem?,Watch
What are the common side effects of Ertapenem?,"DRUG INEFFECTIVE, MACULAR DEGENERATION, OFF LABEL USE, PYREXIA, NAUSEA"
What is the AWARE status of Ertapenem?,Watch
What are the indications for Ertapenem?,"1 INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of Ertapenem for Injection and other antibacterial drugs, Ertapenem for Injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Treatment Ertapenem for Injection is indicated for the treatment of adult patients and pediatric patients (3 months of age and older) with the following moderate to severe infections caused by susceptible isolates of the designated microorganisms [see Dosage and Administration (2) ]. Ertapenem for Injection is a penem antibacterial indicated in adult patients and pediatric patients (3 months of age and older) for the treatment of the following moderate to severe infections caused by susceptible bacteria: • Complicated intra-abdominal infections. ( 1.1 ) • Complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis. ( 1.2 ) • Community-acquired pneumonia. ( 1.3 ) • Complicated urinary tract infections including pyelonephritis. ( 1.4 ) • Acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections. ( 1.5 ) Ertapenem for Injection is indicated in adults for the prophylaxis of surgical site infection following elective colorectal surgery. ( 1.6 ) 1.1 Complicated Intra-Abdominal Infections Ertapenem for Injection is indicated for the treatment of complicated intra-abdominal infections due to Escherichia coli , Clostridium clostridioforme , Eubacterium lentum , Peptostreptococcus species, Bacteroides fragilis , Bacteroides distasonis , Bacteroides ovatus , Bacteroides thetaiotaomicron , or Bacteroides uniformis . 1.2 Complicated Skin and Skin Structure Infections, Including Diabetic Foot Infections without Osteomyelitis Ertapenem for Injection is indicated for the treatment of complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis due to Staphylococcus aureus (methicillin susceptible isolates only), Streptococcus agalactiae , Streptococcus pyogenes , Escherichia coli , Klebsiella pneumoniae , Proteus mirabilis , Bacteroides fragilis , Peptostreptococcus species, Porphyromonas asaccharolytica , or Prevotella bivia . Ertapenem for Injection has not been studied in diabetic foot infections with concomitant osteomyelitis [see Clinical Studies (14) ]. 1.3 Community Acquired Pneumonia Ertapenem for Injection is indicated for the treatment of community acquired pneumonia due to Streptococcus pneumoniae (penicillin susceptible isolates only) including cases with concurrent bacteremia, Haemophilus influenzae (beta-lactamase negative isolates only), or Moraxella catarrhalis . 1.4 Complicated Urinary Tract Infections Including Pyelonephritis Ertapenem for Injection is indicated for the treatment of complicated urinary tract infections including pyelonephritis due to Escherichia coli , including cases with concurrent bacteremia, or Klebsiella pneumoniae . 1.5 Acute Pelvic Infections Including Postpartum Endomyometritis, Septic Abortion and Post Surgical Gynecologic Infections Ertapenem for Injection is indicated for the treatment of acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecological infections due to Streptococcus agalactiae, Escherichia coli , Bacteroides fragilis, Porphyromonas asaccharolytica, Peptostreptococcus species, or Prevotella bivia . Prevention Ertapenem for Injection is indicated in adults for: 1.6 Prophylaxis of Surgical Site Infection Following Elective Colorectal Surgery Ertapenem for Injection is indicated for the prevention of surgical site infection following elective colorectal surgery."
What are the common side effects of Gatifloxacin?,"HYPOGLYCAEMIA, HYPERGLYCAEMIA, ANAPHYLACTIC REACTION, DIARRHOEA, DRUG INTOLERANCE"
What is the AWARE status of Gatifloxacin?,Watch
What are the indications for Gatifloxacin?,"1 INDICATIONS AND USAGE ZYMAXID ® is indicated for the treatment of bacterial conjunctivitis caused by susceptible strains of the following organisms: Aerobic gram-positive bacteria: Staphylococcus aureus Staphylococcus epidermidis Streptococcus mitis group * Streptococcus oralis * Streptococcus pneumoniae Aerobic gram-negative bacteria: Haemophilus influenzae *Efficacy for these organisms were studied in fewer than 10 infections . ZYMAXID ® is a quinolone antimicrobial indicated for the treatment of bacterial conjunctivitis caused by susceptible strains of the following organisms: Haemophilus influenzae, Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus mitis group , Streptococcus oralis, Streptococcus pneumoniae ( 1 )"
What are the common side effects of Gentamicin?,"ACUTE KIDNEY INJURY, DRUG INEFFECTIVE, PYREXIA, OFF LABEL USE, RENAL FAILURE"
What is the AWARE status of Gentamicin?,Access
